                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4341,                 3.4775,                  1.508,                0.02109,                0.24003,                0.18334,                0.12374,                 1.1907,                 3.7879,                 1.3573,             0.00017776,             0.00017776,             0.00017776
                      2,                 1.3232,                 2.3441,                 1.4735,                0.08286,                0.53788,                0.37774,                0.25835,                 1.2891,                  3.204,                 1.3928,             0.00036542,             0.00036542,             0.00036542
                      3,                 1.2296,                 1.8811,                  1.381,                0.86259,                0.30896,                0.44538,                0.29849,                 1.2935,                 2.8323,                 1.3995,             0.00055183,             0.00055183,             0.00055183
                      4,                 1.2957,                 1.6887,                  1.369,                0.68525,                0.48906,                0.58621,                0.39741,                 1.3349,                 2.2496,                 1.3906,               0.000737,               0.000737,               0.000737
                      5,                 1.2804,                 1.6392,                 1.3594,                0.54126,                0.43953,                0.48528,                0.32304,                 1.4374,                  2.611,                 1.5381,             0.00092092,             0.00092092,             0.00092092
                      6,                 1.2315,                  1.507,                 1.3631,                0.53276,                0.51516,                0.54738,                0.36473,                 1.3762,                 2.2407,                  1.491,              0.0010927,              0.0010927,              0.0010927
                      7,                 1.2468,                 1.4518,                 1.3456,                0.76877,                0.41505,                0.49948,                0.30722,                 1.6087,                 2.4491,                 1.7686,              0.0010927,              0.0010927,              0.0010927
                      8,                 1.2123,                 1.4932,                 1.3498,                0.53587,                0.48642,                0.53168,                0.34256,                 1.4922,                 2.3051,                 1.6104,               0.001089,               0.001089,               0.001089
                      9,                 1.2035,                 1.3818,                 1.3345,                0.64376,                0.68411,                0.74967,                0.45423,                 1.4134,                 1.6264,                 1.5068,              0.0010853,              0.0010853,              0.0010853
                     10,                 1.2175,                 1.4056,                 1.3645,                0.64418,                 0.6937,                0.71281,                0.43353,                 1.4275,                 1.5138,                 1.4551,              0.0010817,              0.0010817,              0.0010817
